sentence1,sentence2,label,id
A baby is holding a cup and playing with a toy watering can.,A baby is holding a cup while playing with a watering can in the yard.,1,snli_98627
"Together with LSC's 1998 Program Letters, this decision provided the impetus for more serious discussion of program configuration which resulted in the formation of a single statewide program, Colorado Legal Services, effective October 1, 1999.",This decision hampered more serious discussion of the program.,2,mnli_46735
An old man rests his arms on playground equipment while a young boy plays in the background.,An old man is swinging a young boy in the air.,2,snli_248573
uh-huh that's right that's right well that's what she said to us she said now do you all want him to go to a a state college or a private college and,She and I talked about whether he should go to a state college or private college.,0,mnli_238342
they they get well it it depends on how you look at that because like Sweden they pay a lot in taxes but their day care is government subsidized,"In Sweden, the people a lot in taxes for government-subsidized day care.",0,mnli_13494
A man walking while holding roses.,A MAN IS BRINGING HIS WIFE AN ANNIVERSARY PRESENT.,1,snli_166827
A painting of a man riding a mountain bike on a mountain trail.,The man is riding a bike at the beach.,2,snli_491984
Why should there be a sky shell around the planet?,Why would there be a shell around the planet?,0,mnli_263958
Brief interventions after alcohol-related injuries.,"Alcohol is the most abused substance, therefore it needs intervention.",1,mnli_58150
A surfer rides a huge blue and green wave.,The surfer prepares to do a flip,1,snli_96094
One man is playing the drums while another is singing Karaoke.,Two people are making music.,0,snli_337092
"The dog is holding a branch, swimming in the river.",A dog jumped into the river to fetch a branch that was floating by.,1,snli_486453
"Gentilello concurred, commenting that insurance claims data can be a useful source of follow-up data, as can a simple phone call to inquire whether a patient has returned to the doctor recently.",Gentiello agreed about the insurance claims.,0,mnli_6013
people talking in a restaurant,A group chat at an eating establishment.,0,snli_197694
The giraffe's mouth is closed.,The giraffe has food in its mouth.,1,snli_267099
People enjoy picnics in park on nice warm day.,It is warm outside,0,snli_407298
A woman is adjusting a camera in a crowd of people with a young girl holding a scooter in front of her.,A woman takes a picture of a little boy on a scooter.,2,snli_182382
A man watches two small boys playing in a naturally formed rock.,A human watching,0,snli_363244
"Five people, a man and four women, are being pulled in a cart by a mule on a sunny day.",Some people are outside in a cart.,0,snli_388326
"Sexual harrassment isn't unknown among Republicans, either.",Republicans have no recollection of any sexual harassment. ,2,mnli_376193
I was trying to decide whether or not I would clear John Cavendish at once. ,I had decided that I would clear John Cavendish.,2,mnli_249161
I am not one of those people who believes that the Asian crisis will or even can cause a world depression.,The Asian crisis will have far-reaching consequences. ,2,mnli_62360
"The courtyard of the three-story building can be visited and, if enough rupees are collected, the Kumari herself may appear briefly at a beautifully carved upstairs window.",The Kumari will come to the window only if enough people pay their rupees to come into the courtyard.,1,mnli_231355
"A man stands by a red car, as a child peers out from inside.",The red car is empty.,2,snli_123026
A man on a surfboard rides the waves.,A man is surfing.,0,snli_428628
Experienced sailors in search of a more seaworthy craft should ask at the local yacht harbor.,The local yacht harbor offers bigger vessels.,0,mnli_189750
A young boy plays in the water by the ocean.,Two girls sunbath on a deck.,2,snli_413413
Two women jogging down a sidewalk in front of a person leaning on a bench in front of a lake. with another person,"Two women cannot jog today, as it is raining outside.",2,snli_317133
Two children sleeping in a stroller.,A baby jumps and laughs as his mother plays with him.,2,snli_26122
An African American singer performs on stage with a piano and several microphones in the background.,A man is playing a song on a piano.,0,snli_477861
Two dogs running in a body of water that is light blue with tip of an island of grass showing,Animals running,0,snli_136578
"The Foundation, along with The Florida State Bar and several law firms, have provided funds to hire a statewide pro bono development director.",A statewide pro bono development director has been funded by the Foundation.,0,mnli_73617
