id,sentence,sentiment
9427,"I chose the 4 Queens for my visit to Las Vegas for several reasons, and I'll admit a good lot of those involved the low price of the room. (Other reasons include the proximity to the Neon Boneyard, the historic old-Vegas reputation of the hotel and the ratings on Trip Advisor.)\n\nHowever, the quality of my room was far below what I expected, or even dreamed was possible.\n\nI have very minimal requirements for hotel rooms; generally I only want them to be clean (not spotless, clean) and relatively safe. Non-smoking is also on the list.\n\nMy room at the 4 Queens was the filthiest hotel room I've ever stayed in.\n\nThere was hair (of the nether-region variety) in the bathtub. In fact, I don't think the shower or bathtub were touched by house cleaning before or during my stay. I don't like to make a fuss so wiped-everything down myself, and was too exhausted to switch rooms on top of that.\n\nEvery surface in the room felt greasy. I'm going to say it was covered in some Pledge-like substance (humor me) to make myself feel better.\n\nThere was an empty packet of Lucky Strike cigarettes behind the one side of the drapes and a lighter on the other when I arrived, and spotted quite easily. This was touted to be a non-smoking room. I left the empty cigarette pack and lighter for the duration of my stay to see of it would be eventually picked-up by the housekeeping staff. \n\nNope; no such luck.\n\nAdditionally, there were cigarette burns in the bedding (which was made of some, scratchy, ugly cheap fabric). Two of the three lamps in the room did not work. At all. The remote did not work. The air conditioner was very, very loud.\n\nI didn't realized that the Academy of Country Music awards we're being held in the city the weekend I stayed, and on the 15th floor, I could hear the awful cover bands from Fremont Street quite clearly. Granted, I should have realized the ACMs were the weekend of my stay, but the noise was a bit ridiculous.\nOh, and the folks staying in the room next door smoked weed every night of my stay. I dare say I could very well have gotten a contact-high the smell was so strong.\n\nLuckily, I take Ambien to sleep, and am dead to the world at night. Even with the Ambien, the world's rattliest, loudest air conditioner, still woke me up several times each night. This is in addition to being woken by the amazingly loud sex the reefer users next door were having. Otherwise there is absolutely no way I would have gotten any rest in this hellhole.\n\nUpdate! I initially wrote this review with one night of my stay remaining. Guess what? It got worse! The country band playing on the street on Saturday night was somehow (defying the laws of sound) louder, and played later into the evening. Once my Reefer Madness neighbors returned to their room at near 4am, they rented several porn movies and acted out scenes from them. This went on until about 8 am. I pounded on the wall twice, called the front desk, and nothing was done! I didn't sleep a wink despite the Ambien.\n\nI finally headed to the airport around 9 am, five hours early for my flight, because the hotel was just that damn bad, and I couldn't stand the filthiness and sleaze any longer.\n\nAbsolutely the worst hotel I've ever stayed in. The only thing that could have made it worse are bed bugs or a fire possibly breaking-out.",1
199,"I went here on the day of a wedding (I'm from out of town) for a last minute pedicure. I didn't really know where else to go, so I just stopped here on a whim (it was raining and this was the closest place that seemed to do nails). \n\nThe Salon Nuvo nail person is FANTASTIC (and wonderful to chat with). It's two full weeks later and it looks like my pedicure is brand new (and before you ask, I actually used the exact same brand/color nail polish as my prior crap pedicure). They don't have the cool massage chairs and they put you in a weird little intimate back room, HOWEVER I would totally give that up for a beautiful pedicure that lasts this long.  \n\nThought it was worth a review.",4
12447,"Isn't it strange how the little things can sour your experience? I had a good time at Paris, the dealers were friendly, the staff was nice, the rooms were clean until I was checking out and the guy at the taxi line started yelling that my car was parked to far over. And he kept screaming and gesturing until I moved my car over until it was blocking traffic, which I was trying to avoid in the first place. I usually stay here but I won't be anymore. He was the guy on duty 2/17 at 12pm.",2
42724,"I bought a voucher for this place from one of the deal sites. They accidentally crossed of my name on their list showing that my voucher was already used when it hadn't been. They then proceed to tell me that their verification method was fool proof (how can it be when nothing is scanned and everything is manually checked off by hand?) Then they tried to prove that the voucher I brought in was a photocopy reproduction (it wasn't, it was printer from a printer). All in all, a terrible experience, tried to make me out to be a thief. Why would I even go through all that trouble and reproduce a very \""real looking\"" fake voucher to save $10?!? At the end they realized their mistake. By then I had already 25 mins of my time and my order had already gotten cold. There were no apologies from the restaurant. The food was also very salty and the bubble tea was very chalky. They use powered coffeemate to cream their teas which has a huge taste difference from actual condensed or fresh milk. With all the Chinese food options in that area, I know I will never go back to this place.",1
49498,My mom and I just ate lunch there and I would never go back. We both live in the area and were excited to try it. The service was terrible. It took us forever to get our food and when it did come my pad thai was ok not great and my moms veggie torta was also mediocre. The main reason I will never go back is when we ordered desert our server verbally told us the menu and we ordered the cheesecake. When it came it was covered in peanuts after I specifically told the server I was allergic when I ordered the pad thai peanut free. I'm leaving on a flight and didn't have time for them to make me something else. So overall mediocre food and terrible service.,1
4144,Only reason they get two stars is because their pies are great. Terrible service and don't have enough people working so it takes half an hour to get anyone to even acknowledge that you are waiting.,2
36958,"The place has a nice atmosphere, and they've made an effort to make this basement location feel more lively, colourful and 'south americanish'. The service is really nice and friendly as well, and I'm pretty sure most of the waiters speak spanish which is a good sign when you're eating in a south american place!\nSo why only 3 stars? I love mexican/southern food so maybe I'm a slightly harsh critic, but I just wasn't really taken with the menu. \nEverything we ordered was a bit too overflowing with cheese and creme fraiche so the vibrant flavours were drowned out. The menu isn't really expensive, \u00a315 for 2 courses, but considering the fierce competition with set menus in Edina, it's probably a touch high for such simple food (plain rice, beans, chicken, flour tortillas and side salad)",3
43106,Very slow -- even without a lot of customers -- and very disorganized. You can't pay with the Starbucks app -- they have to take your phone and key in the number by hand!,2
38695,Food is ok but for the love of Pete lose the  iPad check pay system! We want paper checks!!!  After having lunch with friends we were shown our individual bills on an iPad and asked to finger sign. Lunch with one entree and no drink was over $22 each with tax and tip. Really?  No detail of our bills and no paper receipts. Bad!!!,1
6188,"I was honestly just shocked to find Gluten Free pizza`so close to home!  While I can't vouch for the reguar pizza, I would recommend the GF pizza without a doubt.  The only downside is that it takes a much longer time to prepare, but I don't think that's the fault of Fuel.  The people are always friendly and more than happy to keep us entertained while we wait for our pizza!",4
1414,"DO NOT GET KEYS MADE HERE!\n\nI am so annoyed with this Ace. I moved into a new place and needed to get keys made. The cashier paged someone and after waiting about 15 minutes I headed toward the exit, then he finally arrived. I had 5 keys made, 2 didn't fit.  Went back to have the 2 fixed, 1 still didn't work. Ugh!\n\nFast forward a year later and keep in mind my deteriorating memory, I once again had to get keys made and returned to this location. I got 5 made, 2 didn't work (sound familiar). When I went  back to get the keys fixed the woman who helped me told me it is not usually the fault of the people cutting the keys, but the calibration of the machine. She assured me the machine was just calibrated so we should have no issues. \n\nAnd guess what? One of the keys STILL doesn't fit.",1
18471,"Honest, good group of people.  They don't try to sell you tires every time you come in.  They have fixed my tires twice, rotated twice and have not charged me.  Chad was very helpful and pleasant.  This is the best Discount Tire in the area.  4.5 only because they didn't tighten my hub cover the last time I was there and almost lost it.",4
